source_id,source_type,video_id,parent_id,is_reply,author,text,like_count,public
UgziTg8W-jC-schBybV4AaABAg,comment,52O3cYsyZMo,,False,@triplejj9341,"TSLA NEEDS TO SELL STOCK, IMPROVE THE QUALITY ON THE TESLA MODEL 3, AND TAKE MARKET SHARE AWAY FROM TOYOTA CAMRY AND LEXUS!",0,True
UgwNUiVNELOnPC8tZix4AaABAg,comment,52O3cYsyZMo,,False,@0x8badbeef,You say it handles better.  But can you feel the road with steer-by-wire?  Do you feel the forces acting on the front wheels in the steering wheel when you go hard around a corner?  Or that feel you get when you start to lose traction?,0,True
UgyzmurabdwANtPsZKR4AaABAg,comment,52O3cYsyZMo,,False,@IGoFast76,"It still looks pretty much the same as every other Tesla model 3. Minimum body modifications,  same old spartan plain Jane interior. They could've done so much better on styling. A wasted opportunity",0,True
UgwCS7jZWSwOQTYaWm54AaABAg,comment,52O3cYsyZMo,,False,@triplicateatom8927,Jesus loves y'all! ✝Put your faith and trust in Him!,0,True
UgxkUeKllNvx0W_E_L14AaABAg,comment,52O3cYsyZMo,,False,@nagasreenu926,"You are blessed buddy, May God continue to bless you, AMEN.",0,True
UgxPEsDxNIYtIWc13d14AaABAg,comment,52O3cYsyZMo,,False,@SirSquatchington-q2r,"For anyone who cares - I've had aluminum pedals on every car I've had before buying an AWD Model 3 which came with rubber ones. I got a set of carbon fiber pedal covers - which is all these are iirc, but aluminum. Install took 5 mins and the feel under your sole is exponentially better. Random thought, but it makes a huge difference. They cost significantly less than these pedal covers (Tesla sells, or sold them at one point), are stronger, and better made. Thing I've learned is that there is a third party maker of whatever tesla-brand accessory that you want, and half of them are better quality.",0,True
Ugwp5aDoZm6DklhY7X14AaABAg,comment,52O3cYsyZMo,,False,@PhatVu-vl9xk,Dừng lại cho thua đều đi,0,True
UgwRVAs8Omj6HabpMVZ4AaABAg,comment,52O3cYsyZMo,,False,@PhatVu-vl9xk,Thôi,0,True
UgyqE-NB9nJ9yghS7oJ4AaABAg,comment,52O3cYsyZMo,,False,@zr0dotiO,its gay,0,True
UgxAgGLzSuTbPF_Sw6d4AaABAg,comment,52O3cYsyZMo,,False,@seeny13,Please review the new Model Y performance when it comes to the US!,0,True
UgwrOITlbckRO1NAlpR4AaABAg,comment,52O3cYsyZMo,,False,@ghaithbm2731,Can’t wait till my 2026 get into production and delivered 🫠,0,True
Ugw4AEc7P1YtMTqgw554AaABAg,comment,52O3cYsyZMo,,False,@chrisp6044,I have a 992.2 GT3 Touring. Drove this today. Mind blown!,0,True
UgwigGrfiT9o4cxiodp4AaABAg,comment,52O3cYsyZMo,,False,@edaay334,"Have you ever, EVER, even taken a corner at speed? Try a track day already man, jesus christ...",0,True
